电台名称,状态,HTTP状态码,原因,内容类型,URL
CCTV17 农业农村,unreachable,,连接失败: [Errno 11001] getaddrinfo failed,,https://cctv5cncc.v.wscdns.com/live/cctv17_1/index.m3u8?adapt=0&BR=audio
CGTN,unreachable,,连接失败: timed out,,http://stream.zeno.fm/ambvmys65rquv
BBC Radio 1,unreachable,410,HTTP 410,,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_one/bbc_radio_one.isml/bbc_radio_one-audio=320000.m3u8
BBC Radio 1Xtra,unreachable,410,HTTP 410,,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_1xtra/bbc_1xtra.isml/bbc_1xtra-audio=320000.m3u8
BBC Radio 1 Dance,unreachable,410,HTTP 410,,https://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_one_dance/bbc_radio_one_dance.isml/bbc_radio_one_dance-audio=320000.m3u8
BBC Radio 1 Relax,unreachable,410,HTTP 410,,https://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_one_relax/bbc_radio_one_relax.isml/bbc_radio_one_relax-audio=320000.m3u8
BBC Radio 2,unreachable,410,HTTP 410,,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_two/bbc_radio_two.isml/bbc_radio_two-audio=320000.m3u8
BBC Radio 3,unreachable,410,HTTP 410,,https://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_three/bbc_radio_three.isml/bbc_radio_three-audio=320000.m3u8
BBC Radio 4,unreachable,410,HTTP 410,,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_fourfm/bbc_radio_fourfm.isml/bbc_radio_fourfm-audio=320000.m3u8
BBC Radio 4 Extra,unreachable,410,HTTP 410,,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_four_extra/bbc_radio_four_extra.isml/bbc_radio_four_extra-audio=320000.m3u8
BBC Radio 5 Live,unreachable,410,HTTP 410,,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_radio_five_live/bbc_radio_five_live.isml/bbc_radio_five_live-audio=320000.m3u8
BBC Radio 6,unreachable,410,HTTP 410,,https://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_6music/bbc_6music.isml/bbc_6music-audio=320000.m3u8
BBC World Service,unreachable,410,HTTP 410,,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_world_service/bbc_world_service.isml/bbc_world_service-audio=320000.m3u8
A-line Radio 网路音乐台,reachable,200,HTTP 200 (text/html),text/html,http://radio.apple-line.com:987/radio-data/alinePlayer.php
全国治安交通网,unreachable,,连接失败: [Errno 11002] getaddrinfo failed,,http://stream.pbs.gov.tw:1935/live/mp3:PBS/playlist.m3u8
CityFM|城市广播,reachable,200,MP3流,audio/mpeg,http://fm929.cityfm.tw:8080/929.mp3
CityFM|台北健康,reachable,200,MP3流,audio/mpeg,http://fm901.cityfm.tw:8080/901.mp3
CityFM|台南之音,reachable,200,MP3流,audio/mpeg,http://fm971.cityfm.tw:8080/971.mp3
CityFM|大苗栗广播,not_found,404,HTTP 404,,http://fm983.cityfm.tw:8080/983.mp3
正义电台,reachable,200,HTTP 200 (audio/mp3),audio/mp3,http://211.20.119.103:8081
太阳电台,reachable,200,HTTP 200 (audio/mp3),audio/mp3,http://211.20.119.102:8081
台北广播电台FM93.1,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/fm/playlist.m3u8
台北广播电台AM1134,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/am/playlist.m3u8
台中广播电台,reachable,200,HTTP 200 (audio/mp3),audio/mp3,http://211.20.119.101:8081
中广音乐网,reachable,200,HTTP 200 (audio/aac),audio/aac,http://stream.rcs.revma.com/ks4vsmg3qtzuv
中广新闻网,reachable,200,HTTP 200 (audio/aac),audio/aac,http://stream.rcs.revma.com/78fm9wyy2tzuv
中广流行网,reachable,200,HTTP 200 (audio/aac),audio/aac,http://stream.rcs.revma.com/aw9uqyxy2tzuv
News98新闻台,reachable,200,HTTP 200 (audio/aac),audio/aac,http://stream.rcs.revma.com/55tyxsy4qtzuv
飞碟电台,reachable,200,HTTP 200 (audio/aac),audio/aac,http://stream.rcs.revma.com/em90w4aeewzuv
宝岛联播网|宝岛新声,unreachable,,连接失败: timed out,,http://stream.superfm99-1.com.tw:8555
宝岛联播网|大千电台,unreachable,,连接失败: timed out,,http://stream.superfm99-1.com.tw:8554
国立教育电台,unreachable,,连接失败: timed out,,http://wowza.ner.gov.tw/live/_definst_/1/playlist.m3u8
